message,label
I love this sandwich,1
This is an amazing place,1
I feel very good about these beers,1
This is my best work,1
What an awesome view,1
I do not like this restaurant,0
I am tired of this stuff,0
I can't deal with this,0
He is my sworn enemy,0
My boss is horrible,0
This is an awesome place,1
I do not like the taste of this juice,0
I love to dance,1
I am sick and tired of this place,0
What a great holiday,1
That is a bad locality to stay,0
We will have good fun tomorrow,1
I went to my enemy's house today,0
